Lattitude,Longitude,Depth,Month,Year,mag(dec),Magnitude
-1.89,119.84,40,3,1965,2.6,3
-1.55,126.62,28.9,3,1965,2.3,2
-15.26,173.25,30.5,3,1965,9.2,9
-31.97,71.57,48.8,3,1965,7.4,7
-15.38,173.19,25,3,1965,6,6
8.42,126.55,55,3,1965,9.6,10
55.26,161.9,40,3,1965,9.2,9
-32.52,71.23,70,3,1965,2.3,2
40.69,142.92,30,3,1965,9.5,10
-20.5,173.7,20,3,1965,5.2,5
50.28,177.96,20,3,1965,7.4,7
38.37,22.41,75,3,1965,8.9,9
9.99,125.9,60,4,1965,0.1,0
15.8,98.07,10,4,1965,2.6,3
51.87,175.17,30.7,4,1965,5.4,5
-27.09,176.05,25,4,1965,2.9,3
37.51,22.07,20,4,1965,0.8,1
44.81,150.87,39.2,4,1965,9.9,10
36.08,139.97,50,4,1965,4.8,5
-0.46,120.04,25,4,1965,0.1,0
52.19,173.44,25,4,1965,7.1,7
-32.71,178.21,20,4,1965,7.6,8
35.05,24.32,65,4,1965,7.4,7
-20.46,173.62,17.5,4,1965,1.8,2
-17.86,178.65,543.7,4,1965,0.4,0
-13.41,170.38,635,4,1965,1.4,1
-42.69,174.21,20,4,1965,8.8,9
-26.17,178.63,570,4,1965,2.1,2
30.32,138.7,421.7,4,1965,0.7,1
25.08,122.9,165,4,1965,5.9,6
64.57,160.38,15,4,1965,4.6,5
41.46,127.42,10,4,1965,7.3,7
-59.69,26.45,25,4,1965,0.5,1
-59.59,26.37,25,4,1965,3.1,3
34.85,138.33,35,4,1965,5.7,6
11.45,140.23,70,4,1965,9.1,9
24.41,142.78,30,4,1965,0.5,1
-1.73,126.57,25,4,1965,9.9,10
54.16,162.59,36.8,4,1965,6.4,6
21.05,120.8,37.1,4,1965,1.8,2
-6.82,129.5,30,4,1965,1.9,2
35.63,23.43,60,4,1965,3,3
1.33,85.08,15,4,1965,5.1,5
47.29,122.41,64.7,4,1965,5,5
-5.55,110.33,480,4,1965,8.7,9
60.35,146.18,15,5,1965,3.5,4
28.93,128.77,22.5,5,1965,0.1,0
-32.54,70.57,90,5,1965,4.5,5
13.68,89.07,15,5,1965,0.2,0
-24.28,67.93,110,5,1965,4.2,4
41.8,79.41,10,5,1965,0.6,1
-3.52,137.92,50,5,1965,1,1
-6.17,130.36,153.1,5,1965,5.7,6
-4.13,134.95,25,5,1965,6.8,7
5.27,125.47,35,5,1965,4.6,5
22.34,121.25,68.4,5,1965,3,3
-8.94,159.08,35,5,1965,1.7,2
-6.58,105.31,35,5,1965,2.8,3
-4.82,152.44,50,5,1965,8.8,9
-14.92,167.34,120,5,1965,6.8,7
1.31,126.24,35,5,1965,9.4,9
-21.13,178.54,553.8,5,1965,8.4,8
52.15,175.12,28.5,5,1965,7.9,8
13.17,124.6,25,5,1965,3.8,4
51.23,178.88,30.1,5,1965,3.6,4
-55.96,27.88,125,5,1965,9,9
-7.57,128.58,150,5,1965,4.3,4
-23.54,179.92,540,6,1965,7.4,7
15.67,46.71,12.5,6,1965,8.2,8
-1.65,126.55,20,6,1965,9.6,10
51.88,174.02,20,6,1965,8.8,9
44.61,149.02,40.7,6,1965,0.3,0
44.58,148.7,58,6,1965,0.6,1
44.13,149.26,31.6,6,1965,8.1,8
44.11,149.54,35,6,1965,7.3,7
44.3,149.03,32.6,6,1965,2.4,2
44.17,149.87,35,6,1965,2.7,3
43.78,149.45,38,6,1965,9.8,10
43.8,149.35,35,6,1965,0.8,1
43.89,149.34,35,6,1965,0.7,1
-20.38,68.94,102.2,6,1965,8.7,9
41.71,143.73,38.1,6,1965,0.1,0
37.72,29.38,25,6,1965,3.3,3
-39.9,45.55,10,6,1965,0.1,0
-38.08,177.44,95,6,1965,1.5,2
-21.03,173.57,25,6,1965,6.1,6
32.05,87.78,10,6,1965,4,4
44.51,149.22,45,6,1965,2.4,2
42.97,126.65,10,6,1965,9.5,10
28.13,55.89,25,6,1965,5.8,6
7.18,123.61,40,6,1965,7.1,7
56.54,152.95,20,6,1965,2,2
7.03,126.25,30,6,1965,8.4,8
-54.44,4.97,10,6,1965,1.8,2
60.28,141.42,15,6,1965,0.4,0
23.76,121.56,40,6,1965,2.9,3
-5.01,153.06,25,6,1965,0.4,0
-1.73,126.53,30,6,1965,6.8,7
51.81,176.53,44.6,6,1965,3.8,4
-63.16,163.71,10,7,1965,0.2,0
52.99,167.74,45,7,1965,2.2,2
22.34,101.5,35,7,1965,2,2
-22.57,172.94,35,7,1965,7.5,8
38.38,22.55,20,7,1965,9.5,10
46.59,152.47,45,7,1965,2.5,3
-4.41,155.06,490,7,1965,3,3
-6.82,105.51,35,7,1965,1.5,2
-28.43,68.25,112.4,7,1965,4.3,4
7.74,123.81,570,7,1965,2.8,3
-9.72,159.89,25,7,1965,4.5,5
7.56,124.25,24.6,7,1965,5,5
53.32,170.37,28.8,7,1965,2,2
1.81,99.28,105,7,1965,1.9,2
41.28,146.68,15,7,1965,1.8,2
51.47,175.89,20.1,7,1965,3.4,3
-2.34,101.77,140,7,1965,5.5,6
51.05,171.29,21.4,7,1965,0.3,0
50.8,171.61,15,7,1965,0.5,1
51.08,171.47,20,7,1965,6.9,7
6.79,72.91,160,7,1965,9,9
-32.44,178.8,45,8,1965,8.5,9
-56.05,157.92,10,8,1965,2.9,3
-7.53,81.18,26.3,8,1965,4.6,5
-5.21,151.7,60,8,1965,3.6,4
-15.45,166.98,25,8,1965,9.6,10
-15.67,167.22,30,8,1965,5,5
-15.69,167.1,30,8,1965,6.8,7
-15.74,167.26,30,8,1965,1.1,1
-15.86,167.09,30,8,1965,3.1,3
-15.82,167.4,30,8,1965,9.9,10
-5.36,152.12,51,8,1965,4.1,4
-15.93,167.39,35,8,1965,1.7,2
-15.97,167.44,30,8,1965,4.2,4
-16,166.96,25,8,1965,10,10
-15.87,166.96,25,8,1965,1.8,2
-16.2,167.61,35,8,1965,6.1,6
-16.8,167.6,35,8,1965,8.4,8
-6.38,148.54,30,8,1965,9.6,10
-15.82,166.79,20,8,1965,0.7,1
-11.39,166.33,35,8,1965,1.7,2
-0.53,19.95,15,8,1965,7.5,8
4.87,95.84,65,8,1965,3.3,3
-15.19,166.67,30,8,1965,5.2,5
-15.95,167,25,8,1965,1.8,2
-5.71,128.49,330,8,1965,5.2,5
-18.95,68.82,124,8,1965,9.6,10
-22.89,176.19,75,8,1965,2.3,2
-5.92,103.99,45,8,1965,6.7,7
40.46,26.21,15,8,1965,2.2,2
16.08,95.87,25,8,1965,7.7,8
15.84,96.24,25,8,1965,4.9,5
44.45,149.06,30,8,1965,6.3,6
-16.93,167.45,30,8,1965,5.5,6
-6.43,104.67,55,8,1965,6.7,7
-34.6,179.92,100,9,1965,9.2,9
51.87,175.45,31,9,1965,2.3,2
46.52,153.39,15,9,1965,7.9,8
58.09,152.53,27.8,9,1965,9.5,10
57.51,152.26,25,9,1965,2.6,3
6.47,84.41,15,9,1965,6.3,6
-5.35,152.96,44.6,9,1965,2.7,3
-6.21,151.65,15,9,1965,2.7,3
-6.42,70.73,25,9,1965,8.8,9
55.34,165.73,18.9,9,1965,2.7,3
-36.45,97.6,15,9,1965,4.3,4
8.38,126.9,35,9,1965,2.7,3
7.16,126.52,160,9,1965,8.6,9
-1.44,77.48,185.9,9,1965,2.6,3
36.27,141.53,35,9,1965,1.2,1
36.25,141.53,35,9,1965,1.8,2
36.27,141.36,35,9,1965,4.3,4
8.19,126.87,25,9,1965,8.7,9
28.95,128.23,197.6,9,1965,6.4,6
20.68,99.33,35,9,1965,1.1,1
-5.39,151.63,55,9,1965,5.2,5
36.4,141.46,35,9,1965,9.3,9
13.09,145.17,45,9,1965,9.9,10
39.63,143.36,27.5,9,1965,3.4,3
-54.76,38.24,10,9,1965,6.1,6
51.75,175.5,35,9,1965,9,9
-28.28,178,25,9,1965,9.3,9
59.28,144.06,20,9,1965,3.5,4
49.94,178.17,19.7,10,1965,8,8
-19.92,174.48,545.5,10,1965,5.3,5
-60.47,24.55,10,10,1965,9.8,10
49.43,156.42,50,10,1965,6.7,7
-42.97,75.23,22.2,10,1965,6.2,6
12.35,114.49,20,10,1965,3.4,3
-59.23,25.09,20,10,1965,6.8,7
56.19,153.62,25,10,1965,9.8,10
3.11,128.56,192.4,10,1965,9.3,9
-7.98,156.29,15,10,1965,5.4,5
-1.28,127.73,25,10,1965,5.2,5
52.37,174.25,35,10,1965,8,8
53.9,165.4,45,10,1965,8.1,8
4.2,125.79,145.1,10,1965,8.4,8
49.65,156.12,60,10,1965,8.5,9
44.12,145.39,170,10,1965,0.9,1
-1.26,127.74,25,10,1965,8.9,9
-9.03,71.14,593.8,11,1965,1.2,1
-22.46,113.79,15,11,1965,9.9,10
-3.14,143.79,15,11,1965,8.9,9
-22.13,113.93,15,11,1965,0.1,0
30.63,140.23,20,11,1965,8.7,9
43.75,87.84,35,11,1965,2.3,2
-29.41,68.17,45,11,1965,8.5,9
36.51,141.23,40,11,1965,6.7,7
-0.22,18.65,10,11,1965,2.3,2
6.55,126.9,110,11,1965,8.9,9
30.89,41.48,10,11,1965,1.7,2
25.45,125.32,94.7,11,1965,0.2,0
-7.06,129.35,160,11,1965,1.7,2
-18.86,177.72,430,11,1965,5.3,5
53.91,160.58,45,11,1965,4.2,4
-7.23,129.12,147.9,11,1965,9.3,9
-6.19,130.4,133.3,11,1965,4.5,5
51.94,176.09,55,11,1965,6.7,7
51.36,179.72,25,11,1965,4.5,5
2.98,124.83,20,11,1965,3.7,4
51.42,179.7,30,11,1965,8.3,8
-8.67,111.1,55,11,1965,2.5,3
33.01,141.08,60,11,1965,8.2,8
-9.61,159.8,70,11,1965,8.8,9
-45.85,72.96,25,11,1965,1,1
36.1,27.32,77.4,11,1965,7.2,7
-4.84,103.1,60,11,1965,3.1,3
51.1,170.6,15,12,1965,3,3
52.61,173.14,35,12,1965,3.9,4
18.92,107.18,25,12,1965,8.8,9
-6.46,146.3,122.5,12,1965,4.5,5
-37.2,177.56,175,12,1965,0.2,0
17.14,100.13,35,12,1965,8.1,8
-18.11,178.06,645,12,1965,3.9,4
-11.29,166.14,52.8,12,1965,1.3,1
44.69,149.94,29.2,12,1965,5.3,5
44.76,150.2,23.1,12,1965,0.4,0
-56.72,141.44,15,12,1965,5.2,5
7.65,81.91,25,12,1965,7.8,8
52.29,160.36,26.9,12,1965,4.4,4
58.34,153.3,52.4,12,1965,2.3,2
60.48,140.77,20.1,12,1965,0.5,1
-18.1,178.98,621.8,12,1965,3.4,3
-5.2,151.58,80.1,12,1965,6,6
27.86,141.99,45,12,1965,8.4,8
54.21,164.48,35,12,1965,6.1,6
-16.67,71.11,100,12,1965,1.1,1
13.25,95.42,25,1,1966,7.2,7
0.59,120.14,35,1,1966,5,5
33.68,137.24,15,1,1966,2.7,3
52.83,172.05,22.5,1,1966,8.7,9
52.76,172.06,22.5,1,1966,3.3,3
37.88,138.15,10,1,1966,0.8,1
55.96,153.94,20,1,1966,6.4,6
30.01,69.61,10,1,1966,3.4,3
-59.55,26.47,60,1,1966,4,4
-17.11,168.56,10,1,1966,4.4,4
51.51,157.12,115.6,1,1966,6.2,6
-24.84,64.41,25,1,1966,5.2,5
0.21,123.56,158.6,2,1966,0.5,1
16.71,119.97,61.1,2,1966,9.1,9
24.13,121.97,25,2,1966,5.8,6
-15.9,167.91,180,2,1966,6.3,6
39.09,21.78,10,2,1966,5.9,6
26.25,103.19,10,2,1966,3.3,3
50.02,155.51,119.4,2,1966,3.6,4
29.96,69.76,10,2,1966,8.1,8
30.28,70.04,10,2,1966,5.4,5
-56.79,25.97,40,2,1966,2.4,2
-9.85,116.38,45,2,1966,3.6,4
31.19,142,35,2,1966,4,4
20.71,146.16,45.7,2,1966,6.2,6
-6.56,132.64,35,2,1966,1.9,2
26.12,103.22,10,2,1966,0.1,0
-17.67,168.02,35,2,1966,8.9,9
-32.27,78.87,15,2,1966,7.4,7
-32.23,79,15,2,1966,2.2,2
6.71,123.84,35,2,1966,4.4,4
-55.5,27.08,15,2,1966,6.7,7
26.14,125.74,120,2,1966,4.2,4
-5.39,151.59,35,2,1966,2.3,2
-15.4,172.84,20,2,1966,9.4,9
52.55,173.46,35,2,1966,9.1,9
43.69,139.74,217.6,2,1966,4.9,5
29.24,130.34,45,2,1966,4.7,5
-25.98,70.33,64.7,2,1966,1.4,1
48.26,154.43,45.8,3,1966,8.8,9
-38.75,178.06,30,3,1966,0.5,1
31.53,80.49,20,3,1966,2.9,3
31.42,80.55,20,3,1966,0.5,1
37.16,114.88,25,3,1966,0.5,1
-13.7,166.56,35,3,1966,4.1,4
1.9,126.33,35,3,1966,4.1,4
1.74,126.34,35,3,1966,8.9,9
-19.99,68.84,108.6,3,1966,0.5,1
24.12,122.58,30,3,1966,8.8,9
-21.15,179.09,625,3,1966,4.5,5
-52.66,19.71,10,3,1966,3.4,3
0.62,29.86,29.3,3,1966,5.4,5
-21.18,174.43,25,3,1966,9.9,10
37.54,115.04,20,3,1966,8.8,9
37.55,115.06,20,3,1966,0.2,0
23.97,122.94,49.5,3,1966,8.8,9
-13.63,166.83,30,3,1966,3.1,3
37.71,115.28,20,3,1966,4.9,5
37.8,115.1,20,3,1966,1.3,1
8.87,83.47,25,3,1966,4.8,5
23.87,142.25,80,3,1966,4.3,4
37.46,115.13,20,3,1966,2.2,2
36.62,141.12,48.5,4,1966,1.6,2
12.01,92.48,10,4,1966,2.3,2
-45.69,96,10,4,1966,1.2,1
56.38,154.6,26.2,4,1966,9.8,10
26.2,127.51,49.7,4,1966,9.4,9
51.3,157.7,46.6,4,1966,9.5,10
9.41,84.28,25,4,1966,4.3,4
-14.07,166.72,55,4,1966,3.5,4
-31.45,71.05,60.5,4,1966,3.8,4
18.11,102.56,30,4,1966,5.3,5
-38.23,72.7,35,4,1966,2.7,3
-38.19,73.2,45,4,1966,2.6,3
56.9,153.6,15,4,1966,5.3,5
18.82,147.22,25,4,1966,7.2,7
41.7,48.24,20,4,1966,7.8,8
35.58,142.17,10,4,1966,4,4
35.6,142.04,10.9,4,1966,0.8,1
-37.66,73.43,21.4,4,1966,7.3,7
57.27,152.48,20.9,4,1966,2.3,2
-0.71,122.19,20,4,1966,5.2,5
-0.57,122.24,35,4,1966,9.6,10
-8.34,74.14,161,5,1966,2,2
-6,149.74,35,5,1966,7.4,7
-8.5,114.97,105,5,1966,1.8,2
24.3,122.6,50,5,1966,8.7,9
34.43,26.46,25,5,1966,4.7,5
48.89,156.28,24.7,5,1966,7.2,7
48.85,156.29,25.7,5,1966,8.2,8
48.85,156.13,20.6,5,1966,7.6,8
34.02,138.98,10,5,1966,7.7,8
51.41,178.29,35.1,5,1966,8.9,9
-6.97,129.35,201.1,5,1966,3.2,3
-44.2,75.48,19.5,5,1966,10,10
24.97,109.09,20,5,1966,3.1,3
53.93,164.12,32.3,5,1966,7.4,7
13.9,146.48,25,5,1966,0.3,0
19.37,122.15,60,5,1966,4.3,4
30.08,139.99,20,5,1966,2.6,3
13.89,146.41,25,5,1966,9.5,10
-6.38,131.04,65,5,1966,8.6,9
-21.66,169.81,35,5,1966,8.9,9
-52.77,160.12,10,5,1966,8.9,9
24.27,122.63,50,5,1966,0.6,1
-23.46,174.66,15,6,1966,3.9,4
50.99,175.96,20.6,6,1966,7.6,8
-0.05,123.13,140,6,1966,9.4,9
46.42,152.74,39.1,6,1966,5.6,6
-14.93,167.84,15,6,1966,4.9,5
36.42,71.22,215.6,6,1966,3.8,4
9.53,126.51,25,6,1966,4.8,5
-14.83,75.84,20,6,1966,5.4,5
24.33,122.66,35,6,1966,6.1,6
11.32,139.59,35,6,1966,3.3,3
44.24,147.77,93.2,6,1966,5.4,5
51.4,178.35,35,6,1966,5.2,5
-21.24,174.34,25,6,1966,7.3,7
-12.19,167.13,241.6,6,1966,8.5,9
-10.32,161.01,45,6,1966,5.5,6
-10.06,161.15,45,6,1966,9.9,10
-10.03,160.94,45,6,1966,4.7,5
-10.17,160.85,45,6,1966,5,5
-11.02,165.17,30,6,1966,7.9,8
50.16,157.77,45.5,6,1966,9.4,9
-7.24,124.58,531.8,6,1966,9.4,9
43.73,140.19,225,6,1966,9.2,9
29.5,80.85,25.9,6,1966,4.1,4
29.54,80.92,25,6,1966,2.5,3
29.71,80.94,25,6,1966,6.1,6
-38.36,177.14,115,6,1966,4.5,5
-13.79,166.64,45,6,1966,4.3,4
24.74,122.41,112.5,7,1966,2.6,3
51.75,176.3,30,7,1966,4.6,5
51.83,179.78,15,7,1966,9.8,10
51.87,179.88,15,7,1966,1.2,1
24.3,125.19,35.6,7,1966,2.7,3
-19.47,173.25,25,7,1966,6.6,7
44.71,37.27,39.3,7,1966,9.6,10
56.24,164.75,15,7,1966,4.3,4
51.75,173.48,29.7,7,1966,3.9,4
-17.76,178.55,594.4,7,1966,0.5,1
51.66,173.68,31.3,7,1966,2.4,2
-24.16,70.08,33.5,7,1966,0.2,0
29.94,68.78,20.2,8,1966,6.3,6
29.91,68.68,25,8,1966,8.1,8
29.99,68.59,25,8,1966,2.5,3
-10.99,162.77,35,8,1966,0.1,0
50.51,171.3,19.7,8,1966,0.2,0
-10.69,161.24,35,8,1966,2.5,3
31.04,113.78,6,8,1966,9,9
19.28,108.27,30,8,1966,8,8
-20.16,175.23,98.8,8,1966,7.5,8
-23.5,175.81,35,8,1966,6.3,6
52.56,161.63,17.2,8,1966,6.6,7
28.57,78.96,27,8,1966,9.7,10
13.3,121.47,19.8,8,1966,7.5,8
3.49,64.01,10,8,1966,3.9,4
36.4,70.9,196.4,8,1966,9,9
37.38,114.16,10,8,1966,8.4,8
-21.34,171.48,15,8,1966,2.7,3
-5.03,125.12,540,8,1966,7.4,7
52.16,175.05,41.9,8,1966,1.8,2
14.48,91.84,68.4,8,1966,1.6,2
-0.11,125.07,55,8,1966,2.3,2
-0.01,125.03,32.5,8,1966,7,7
39.24,41.57,24.7,8,1966,4.6,5
-3.2,77.17,113.3,8,1966,0.4,0
42.98,140.71,159.4,8,1966,7.5,8
39.44,41.09,25,8,1966,9,9
-23.73,175.68,35,8,1966,1.8,2
8.48,126.65,35,8,1966,1.8,2
-1.74,134.06,25,8,1966,5.7,6
-22.5,170.74,20,8,1966,2.2,2
23.87,123.23,25,8,1966,2.8,3
-27.69,177.19,55,8,1966,7.5,8
-22.13,170.04,10,8,1966,1.8,2
-36.09,178.58,170,8,1966,8.7,9
61.2,147.78,29.6,8,1966,5,5
2.39,128.49,115,9,1966,2.1,2
45.4,150.55,35,9,1966,6.3,6
6.76,72.98,161.1,9,1966,4.4,4
-22.99,170.75,15,9,1966,6.2,6
39.39,120.25,10,9,1966,8.4,8
-60.24,27.2,20,9,1966,7.6,8
-60.26,26.92,20,9,1966,0.1,0
22.92,121.51,30,9,1966,3.6,4
27.78,54.23,20,9,1966,6.1,6
18.26,100.99,80.3,9,1966,2.4,2
27.42,92.58,14.4,9,1966,4.6,5
27.41,100.1,20,9,1966,4.8,5
-21.56,170.6,150,10,1966,5.5,6
61.58,150.13,55,10,1966,7,7
-16.65,177.28,15,10,1966,8.7,9
-60.35,26.49,20,10,1966,5.6,6
-11.79,121.6,20,10,1966,1.3,1
-31.24,177.75,25,10,1966,3.8,4
29.73,142.67,15,10,1966,1.6,2
-56.11,27.62,100,10,1966,8.2,8
-10.67,78.23,40,10,1966,5.9,6
-1.57,15.61,15,10,1966,7.6,8
-18.32,167.58,35,10,1966,6.4,6
22.23,145.98,10,10,1966,8.2,8
38.8,21.24,25,10,1966,8.4,8
19.1,67.88,26.5,11,1966,0.3,0
-15.37,175.11,15,11,1966,5,5
-31.97,68.3,113,11,1966,0,0
52.14,169.16,29.2,11,1966,0.4,0
-23.82,67.86,135,11,1966,0.3,0
41.75,144.39,32.5,11,1966,6,6
-15.68,167.26,35,11,1966,9.6,10
17.04,61.89,79.4,11,1966,7,7
48.02,146.86,460,11,1966,7.7,8
-57.96,25.52,35,11,1966,6.6,7
-14.85,167.05,35,11,1966,3.3,3
-25.56,70.5,51.8,11,1966,4.3,4
6.6,82.75,16.7,11,1966,8.4,8
-13.95,167.05,125,12,1966,7.4,7
3.25,128.17,75,12,1966,3.7,4
44.48,151.66,15,12,1966,7.2,7
14.35,91.96,70,12,1966,1.5,2
-3.42,145.7,25,12,1966,1.7,2
-4.93,144.05,65,12,1966,4.6,5
21.49,94.32,94.3,12,1966,3.8,4
29.54,80.82,20,12,1966,7.1,7
-26.12,63.15,578,12,1966,1.4,1
37.3,116.41,1.2,12,1966,0.8,1
-19.98,169.83,230,12,1966,3,3
-7.04,148.26,30,12,1966,4.6,5
37.13,141.2,55.3,12,1966,6.1,6
-25.49,70.55,25,12,1966,0.2,0
-32.84,111.78,10,12,1966,7.6,8
-12.09,166.55,55,12,1966,9.2,9
-12.33,166.49,35,12,1966,5.4,5
-15.24,173.61,30,1,1967,0.3,0
-11.2,165.42,30,1,1967,2.1,2
-10.19,28.42,29.1,1,1967,7.9,8
-12.35,166.22,30,1,1967,4.8,5
-11.09,165.67,30,1,1967,3.6,4
-11.11,165.54,30,1,1967,6.1,6
-12.38,166.47,30,1,1967,7,7
20.32,120.11,21.6,1,1967,8.4,8
10.88,62.33,92.6,1,1967,5.3,5
48.17,103.04,13.2,1,1967,2.5,3
48.48,103.02,17.5,1,1967,5.4,5
48.04,103.01,17.5,1,1967,8.6,9
41.88,143.48,39.3,1,1967,9.7,10
-1.46,126.48,30,1,1967,1.6,2
-48.87,112.8,15,1,1967,1.1,1
11.85,142.87,15,1,1967,7.7,8
-0.15,120.03,35,1,1967,0,0
33.99,45.74,35,1,1967,1.1,1
-10.52,161.41,40,1,1967,9.6,10
-11.25,165.62,30,1,1967,1.8,2
-27.34,63.2,590.9,1,1967,5.9,6
38.24,142.15,45.8,1,1967,6.9,7
56.56,120.95,25,1,1967,2.9,3
52.57,168.5,26,1,1967,7.8,8
-11.9,166.49,140,1,1967,2,2
48.11,103.06,20,1,1967,3.4,3
-49.92,114.88,25,1,1967,9.4,9
19.97,109.13,30,1,1967,6.3,6
41.5,142.2,68,1,1967,5.1,5
-0.92,21.08,10,1,1967,1.6,2
36.72,71.63,273.2,1,1967,1.7,2
52.45,169.6,35,1,1967,5.6,6
52.29,169.35,35,1,1967,2.2,2
52.24,169.47,39.9,1,1967,8.9,9
26.11,96.12,25,1,1967,6.8,7
2.62,84.36,10,1,1967,0.3,0
-57.94,25.66,65,2,1967,4.5,5
-5.54,110.48,550,2,1967,5.1,5
56.52,157.33,62,2,1967,1.3,1
2.85,74.8,55,2,1967,4.3,4
52.81,34.14,10,2,1967,2.5,3
13.56,96.46,30,2,1967,6.6,7
-13.3,171.41,630,2,1967,5.6,6
-9.16,71.27,600.4,2,1967,6.2,6
-23.88,175.08,15,2,1967,1.1,1
-5.87,153.27,35,2,1967,0.1,0
-8.97,113.02,80,2,1967,9.5,10
-0.07,124.21,95,2,1967,3.6,4
33.62,75.33,20,2,1967,0.3,0
-19.52,169.22,90.6,2,1967,2.3,2
26.18,128.61,31.9,2,1967,5,5
-0.08,123.95,75,2,1967,8.2,8
-0.11,123.97,80,2,1967,2.1,2
32.61,141.65,25,2,1967,6.8,7
-0.21,78.6,118.9,3,1967,4.9,5
21.4,121.82,131.1,3,1967,0.6,1
-18.56,175.29,226.7,3,1967,5.7,6
39.1,24.68,15,3,1967,4.4,4
-10.62,166.2,15,3,1967,4.9,5
-10.62,166.33,15,3,1967,0.4,0
-10.82,166.39,55,3,1967,8.1,8
19.26,95.8,28.7,3,1967,7.5,8
-40.17,74.72,20,3,1967,0.4,0
19.58,38.87,20,3,1967,4,4
28.46,94.25,16.9,3,1967,9.6,10
-3.58,150.91,25,3,1967,6.5,7
-6.08,146.35,110,3,1967,1.2,1
